1,1
2,1,2,3
3,1,2,3,4,7
4,1,2,3,4,5,6,7,15
5,1,2,3,4,5,6,7,8,12,14,15,21,31
6,1,2,3,4,5,6,7,8,9,10,12,14,15,21,28,30,31,63
7,1,2,3,4,5,6,7,8,9,10,12,14,15,20,21,24,28,30,31,35,42,60,62,63,93,105,127
8,1,2,3,4,5,6,7,8,9,10,12,14,15,17,18,20,21,24,28,30,31,35,42,51,56,60,62,63,84,85,93,105,124,126,127,217,255
9,1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,18,20,21,24,28,30,31,35,36,40,42,51,56,60,62,63,70,73,84,85,93,105,120,124,126,127,155,186,210,217,252,254,255,381,465,511
10,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,20,21,24,28,30,31,33,34,35,36,40,42,45,51,56,60,62,63,70,73,84,85,93,102,105,120,124,126,127,140,155,168,170,186,210,217,248,252,254,255,315,341,372,381,420,434,465,508,510,511,651,889,1023
11,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,20,21,23,24,28,30,31,33,34,35,36,40,42,45,48,51,56,60,62,63,68,70,72,73,84,85,89,93,102,105,119,120,124,126,127,140,146,155,168,170,186,204,210,217,219,248,252,254,255,279,310,315,340,341,357,372,381,420,434,465,504,508,510,511,595,635,651,762,868,889,930,1020,1022,1023,1533,1785,1905,1953,2047
12,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,28,30,31,33,34,35,36,39,40,42,45,48,51,56,60,62,63,65,66,68,70,72,73,84,85,89,90,91,93,102,105,112,117,119,120,124,126,127,140,146,155,168,170,186,195,204,210,217,219,248,252,254,255,273,279,280,292,310,315,340,341,357,372,381,420,434,455,465,504,508,510,511,585,595,620,630,635,651,682,744,762,819,840,868,889,930,1016,1020,1022,1023,1085,1302,1365,1524,1533,1778,1785,1860,1905,1953,2044,2046,2047,2667,3255,3937,4095
13,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,28,30,31,33,34,35,36,39,40,42,44,45,46,48,51,56,60,62,63,65,66,68,69,70,72,73,77,80,84,85,89,90,91,93,102,105,112,117,119,120,124,126,127,132,136,140,146,155,168,170,178,180,186,195,204,210,217,219,231,238,240,248,252,254,255,267,273,279,280,292,310,315,340,341,357,365,372,381,408,420,434,438,455,465,504,508,510,511,527,558,585,595,620,630,635,651,680,682,714,744,762,819,840,868,889,930,1016,1020,1022,1023,1085,1095,1143,1190,1260,1270,1302,1364,1365,1524,1533,1581,1736,1778,1785,1860,1905,1953,2040,2044,2046,2047,2387,2555,2604,2635,2667,3066,3255,3556,3570,3810,3906,3937,4092,4094,4095,6141,7161,7665,7905,8001,8191
14,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,26,28,30,31,33,34,35,36,39,40,42,43,44,45,46,48,51,55,56,60,62,63,65,66,68,69,70,72,73,77,78,80,84,85,89,90,91,92,93,102,105,112,117,119,120,124,126,127,129,130,132,136,140,146,153,155,161,165,168,170,178,180,182,186,195,204,210,217,219,231,234,238,240,248,252,254,255,267,273,279,280,292,310,315,336,340,341,356,357,365,372,381,390,408,420,434,438,455,465,476,496,504,508,510,511,527,546,558,584,585,595,620,623,630,635,651,680,682,714,744,762,765,819,840,868,876,889,910,930,1016,1020,1022,1023,1071,1085,1095,1116,1143,1170,1190,1240,1260,1270,1302,1364,1365,1428,1524,1533,1581,1638,1705,1736,1778,1785,1860,1905,1953,2040,2044,2046,2047,2170,2263,2380,2387,2540,2555,2604,2635,2667,2730,3048,3066,3255,3556,3570,3720,3810,3906,3937,4088,4092,4094,4095,4445,5115,5334,5355,5461,6132,6141,6510,7140,7161,7620,7665,7812,7874,7905,8001,8188,8190,8191,11811,13335,14329,15841,16383
